Date,Close
2021-06-21,19.11
2021-06-22,19.11
2021-06-23,19.25
2021-06-24,19.28
2021-06-25,19.41
2021-06-28,19.12
2021-06-29,19.24
2021-06-30,19.25
2021-07-01,19.47
2021-07-02,19.65
2021-07-06,19.3
2021-07-07,18.83
2021-07-08,19.15
2021-07-09,19.47
2021-07-12,19.4
2021-07-13,19.71
2021-07-14,19.18
2021-07-15,18.88
2021-07-16,18.88
2021-07-19,17.64
2021-07-20,17.91
2021-07-21,18.59
2021-07-22,18.95
2021-07-23,19.08
2021-07-26,19.2
2021-07-27,19.12
2021-07-28,19.13
2021-07-29,19.49
2021-07-30,19.51
2021-08-02,18.96
2021-08-03,18.82
2021-08-04,18.22
2021-08-05,18.53
2021-08-06,18.33
2021-08-09,17.97
2021-08-10,18.38
2021-08-11,18.57
2021-08-12,18.48
2021-08-13,18.22
2021-08-16,18.08
2021-08-17,17.95
2021-08-18,17.58
2021-08-19,17.36
2021-08-20,16.87
2021-08-23,17.81
2021-08-24,18.4
2021-08-25,18.6
2021-08-26,18.44
2021-08-27,18.72
2021-08-30,18.84
2021-08-31,18.69
2021-09-01,18.62
2021-09-02,19.01
2021-09-03,18.95
2021-09-07,18.68
2021-09-08,18.97
2021-09-09,18.61
2021-09-10,19.01
2021-09-13,19.24
2021-09-14,19.21
2021-09-15,19.71
2021-09-16,19.75
2021-09-17,19.67
2021-09-20,19.42
2021-09-21,19.45
2021-09-22,19.8
2021-09-23,20.15
2021-09-24,20.35
2021-09-27,20.76
2021-09-28,20.51
2021-09-29,20.5
2021-09-30,20.64
2021-10-01,20.89
2021-10-04,21.43
2021-10-05,21.86
2021-10-06,21.31
2021-10-07,21.75
2021-10-08,21.75
2021-10-11,22.02
2021-10-12,21.97
2021-10-13,21.95
2021-10-14,22.18
2021-10-15,22.35
2021-10-18,22.18
2021-10-19,22.4
2021-10-20,22.62
2021-10-21,22.34
2021-10-22,22.57
2021-10-25,22.57
2021-10-26,22.76
2021-10-27,22.16
2021-10-28,22.3
2021-10-29,22.25
2021-11-01,22.47
2021-11-02,22.47
2021-11-03,21.58
2021-11-04,21.43
2021-11-05,21.98
2021-11-08,22.22
2021-11-09,22.54
2021-11-10,21.95
2021-11-11,21.92
2021-11-12,21.8
2021-11-15,21.79
2021-11-16,21.9
2021-11-17,21.4
2021-11-18,21.55
2021-11-19,20.87
2021-11-22,21.1
2021-11-23,21.88
2021-11-24,21.72
2021-11-26,19.43
2021-11-29,19.54
2021-11-30,18.7
2021-12-01,18.37
2021-12-02,18.79
2021-12-03,18.75
2021-12-06,19.73
2021-12-07,20.08
2021-12-08,20.4
2021-12-09,19.84
2021-12-10,20.23
2021-12-13,19.96
2021-12-14,19.69
2021-12-15,19.98
2021-12-16,20.06
2021-12-17,19.65
2021-12-20,19.3
2021-12-21,19.92
2021-12-22,20.26
2021-12-23,20.57
2021-12-27,21.02
2021-12-28,21.11
2021-12-29,21.24
2021-12-30,21.2
2021-12-31,20.91
2022-01-03,21.16
2022-01-04,21.45
2022-01-05,21.48
2022-01-06,21.97
2022-01-07,21.96
2022-01-10,21.71
2022-01-11,22.45
2022-01-12,22.7
2022-01-13,22.49
2022-01-14,23.17
2022-01-18,23.57
2022-01-19,23.59
2022-01-20,23.42
2022-01-21,23.5
2022-01-24,23.25
2022-01-25,23.55
2022-01-26,23.83
2022-01-27,23.93
2022-01-28,24.05
2022-01-31,24.2
2022-02-01,24.19
2022-02-02,24.22
2022-02-03,24.6
2022-02-04,25.2
2022-02-07,25.07
2022-02-08,24.62
2022-02-09,24.82
2022-02-10,24.72
2022-02-11,25.69
2022-02-14,25.96
2022-02-15,25.19
2022-02-16,24.85
2022-02-17,25.13
2022-02-18,25.32
2022-02-22,25.83
2022-02-23,26.05
2022-02-24,26.51
2022-02-25,26.28
2022-02-28,27.16
2022-03-01,29.37
2022-03-02,31.6
2022-03-03,30.67
2022-03-04,32.77
2022-03-07,34.16
2022-03-08,35.7
2022-03-09,31.22
2022-03-10,30.42
2022-03-11,31.13
2022-03-14,29.31
2022-03-15,27.32
2022-03-16,27.04
2022-03-17,29.47
2022-03-18,29.77
2022-03-21,32.18
