Date,Close
2025-05-12,5.0
2025-05-13,5.0229
2025-05-14,5.0161
2025-05-15,5.1612
2025-05-16,5.2202
2025-05-19,5.287
2025-05-20,5.359
2025-05-21,5.457
2025-05-22,5.442
2025-05-23,5.405
2025-05-26,5.536
2025-05-27,5.616
2025-05-28,5.72
2025-05-29,5.666
2025-05-30,5.66
2025-06-02,5.679
2025-06-03,5.767
2025-06-04,5.74
2025-06-05,5.807
2025-06-06,5.705
2025-06-09,5.629
2025-06-10,5.421
2025-06-11,5.462
2025-06-12,5.451
2025-06-13,5.471
2025-06-16,5.505
2025-06-17,5.493
2025-06-18,5.525
2025-06-19,5.478
2025-06-20,5.526
2025-06-23,5.479
2025-06-24,5.426
2025-06-25,5.525
2025-06-26,5.689
2025-06-27,5.65
2025-06-30,5.715
2025-07-01,5.5
2025-07-02,5.496
2025-07-03,5.537
2025-07-04,5.569
2025-07-07,5.685
2025-07-08,5.659
2025-07-09,5.725
2025-07-10,5.701
2025-07-11,5.729
2025-07-14,5.796
2025-07-15,5.707
2025-07-16,5.662
2025-07-17,5.75
2025-07-18,5.853
2025-07-21,5.778
2025-07-22,5.671
2025-07-23,5.7
2025-07-24,5.637
2025-07-25,5.603
2025-07-28,5.517
2025-07-29,5.66
2025-07-30,5.624
2025-07-31,5.697
2025-08-01,5.603
2025-08-04,5.68
2025-08-05,5.697
2025-08-06,5.738
2025-08-07,5.615
2025-08-08,5.56
2025-08-11,5.479
2025-08-12,5.576
2025-08-13,5.57
2025-08-14,5.695
2025-08-15,5.654
2025-08-18,5.728
2025-08-19,5.507
2025-08-20,5.461
2025-08-21,5.563
2025-08-22,5.579
2025-08-25,5.615
2025-08-26,5.617
2025-08-27,5.602
2025-08-28,5.609
2025-08-29,5.622
2025-09-01,5.748
2025-09-02,5.621
2025-09-03,5.683
2025-09-04,5.613
2025-09-05,5.627
2025-09-08,5.68
2025-09-09,5.676
2025-09-10,5.761
2025-09-11,5.912
2025-09-12,5.979
2025-09-15,6.071
2025-09-16,5.975
2025-09-17,5.897
2025-09-18,5.935
2025-09-19,5.965
2025-09-22,6.068
2025-09-23,5.986
2025-09-24,6.142
2025-09-25,6.144
2025-09-26,6.191
2025-09-29,6.249
2025-09-30,6.326
2025-10-01,6.299
2025-10-02,6.362
2025-10-03,6.361
2025-10-06,6.247
2025-10-07,6.25
2025-10-08,6.338
2025-10-09,6.256
2025-10-10,6.133
2025-10-13,6.079
2025-10-14,6.06
2025-10-15,5.901
2025-10-16,5.944
