# =============================================================================
#  JOURNAL DES APPORTS  -  seul fichier a editer quand tu verses, arbitres ou vends
# =============================================================================
#
#  UNE LIGNE PAR MOUVEMENT, dans cet ordre, separes par des point-virgules :
#
#      date ; intitule ; quantite ; prix unitaire
#
#  date          AAAA-MM-JJ  (date du mouvement)
#  intitule      a recopier EXACTEMENT dans la liste ci-dessous
#  quantite      nombre de parts ou d actions achetees
#                  -> quantite NEGATIVE pour une vente ou un arbitrage sortant :
#                     la quantite baisse et le prix de revient ne bouge pas
#  prix          prix d une part ce jour-la, en euros
#                  -> laisser VIDE si tu ne le connais pas : la ligne comptera
#                     dans la quantite mais pas dans le calcul du prix de revient
#
#  La virgule decimale est acceptee : 39,07 comme 39.07
#  Les lignes vides et les lignes commencant par # sont ignorees
#  L ordre des lignes n a pas d importance, elles sont triees a la lecture
#
#  INTITULES AUTORISES (a rallonger dans LIGNES, dans index.html, si besoin) :
#      Actions Internationales ESR      PEG / PER  - fonds Amundi
#      Label Equilibre ESR              PEG        - fonds Amundi
#      Label Monetaire ESR              PEG        - fonds Amundi
#      Airbus                           PEG        - actionnariat salarie
#      ETF MSCI World                   PEA
#      ETF Asie Emergente               PEA
#      ASML                             PEA
#      Amundi Euro Liquidity            Assurance vie
#      Carmignac Securite               Assurance vie
#      ODDO Global Target 2029          Assurance vie
#      ETF Euro Corporate SRI           Assurance vie
#
#  Le fonds euros de l assurance vie n est pas gere ici : il se saisit dans
#  index.html, constantes FONDS_EUROS (valeur du jour) et FONDS_EUROS_VERSE
#  (montant net verse).
#
#  ATTENTION : les lignes datees du 2026-06-16 ci-dessous reprennent l ancien
#  ancrage du tableau de bord. Leur prix est la valeur de la part au 16/06/2026,
#  pas un vrai prix d achat, sauf la ou c est indique. Remplace-les au fur et a
#  mesure que tu retrouves les vrais montants, la PMV deviendra alors reelle.
#
# -----------------------------------------------------------------------------
# date ; intitule ; quantite ; prix
# -----------------------------------------------------------------------------

# --- PEG / PER -----------------------------------------------------------
2026-06-16;Actions Internationales ESR;941.2472;38.68
2026-06-16;Actions Internationales ESR;1156.7167;39.07
2026-06-16;Actions Internationales ESR;88.2604;39.56
2026-06-16;Actions Internationales ESR;22.898;39.51
2026-06-16;Label Equilibre ESR;75.4236;326.83
2026-06-16;Label Monetaire ESR;9.4187;1308.6031
2026-06-16;Label Monetaire ESR;1.0326;1312.0701
2026-08-01;Airbus;22.0232;204.33

# --- PEA -----------------------------------------------------------------
2026-06-16;ETF MSCI World;6157;6.78
2026-06-16;ETF Asie Emergente;355;39.70
2026-06-16;ASML;3;1553.53

# --- Assurance vie -------------------------------------------------------
2026-06-16;Amundi Euro Liquidity;0.3054;10885.40
2026-06-16;Carmignac Securite;1.6917;1924.08
2026-06-16;ETF Euro Corporate SRI;14.3676;226.55
2026-06-16;ODDO Global Target 2029;0.2720;
